title,date,author
Extracting Article & News Data: The Importance of Data Quality,"June 23, 2020 ",Attila Tóth
Price Gouging or Economics at Work: Price Intelligence to Track Consumer Sentiment,"June 11, 2020 ",Robert Cosgrave
A Practical Guide to Web Data QA Part III: Holistic Data Validation Techniques,"June 09, 2020 ",Ivan Ivanov and Warley Ferreira Lopes
Product Reviews API (Beta): Extract Product Reviews at Scale,"May 19, 2020 ",Attila Tóth
Custom crawling & News API: designing a web scraping solution,"April 28, 2020 ",Júlio César Batista
Vehicle API (Beta): Extract Automotive Data at Scale,"April 16, 2020 ",Attila Tóth
A Practical Guide to Web Data Extraction QA Part II: Common validation pitfalls,"April 09, 2020 ",Ivan Ivanov
Transitioning to Remote Working as a Company,"March 25, 2020 ",Shane Evans
A Practical Guide to Web Data QA Part I: Validation Techniques,"March 24, 2020 ",Ivan Ivanov
COVID-19: Handling the Situation as a Fully Remote Company,"March 13, 2020 ",Suzanne Hassett
